Element Number,Radius,Flow Rate,Inlet Pressure,Outlet Pressure,order
1562.0,0.68491,130.37,7273.616999,7273.191999,7.0
1563.0,0.68491,130.37,7273.191999,7272.766996,7.0
1564.0,0.68491,130.37,7272.766996,7272.34199,7.0
1565.0,0.68491,130.37,7272.34199,7272.041918,7.0
1566.0,0.68491,130.37,7272.041918,7271.616909,7.0
1567.0,0.68491,130.37,7271.616909,7271.191898,7.0
1568.0,0.68491,130.37,7271.191898,7270.766884,7.0
1569.0,0.68491,130.37,7270.766884,7270.465891,7.0
1570.0,0.68491,130.37,7270.465891,7270.164894,7.0
1571.0,0.68491,130.37,7270.164894,7269.863894,7.0
1572.0,0.68491,130.37,7269.863894,7269.438868,7.0
1573.0,0.68491,130.37,7269.438868,7269.138796,7.0
1574.0,0.68491,130.37,7269.138796,7268.713767,7.0
1575.0,0.68491,130.37,7268.713767,7268.288736,7.0
1576.0,0.68491,130.37,7268.288736,7267.988664,7.0
1577.0,0.68491,130.37,7267.988664,7267.563629,7.0
1578.0,0.68491,130.37,7267.563629,7267.263557,7.0
1579.0,0.68491,130.37,7267.263557,7266.83852,7.0
1580.0,0.68491,130.37,7266.83852,7266.413479,7.0
1581.0,0.68491,130.37,7266.413479,7265.988436,7.0
1582.0,0.68491,130.37,7265.988436,7265.688364,7.0
1583.0,0.68491,130.37,7265.688364,7265.263318,7.0
1584.0,0.68491,130.37,7265.263318,7264.963246,7.0
1585.0,0.68491,130.37,7264.963246,7264.538196,7.0
1586.0,0.68491,130.37,7264.538196,7264.238125,7.0
1587.0,0.68491,130.37,7264.238125,7263.813072,7.0
1588.0,0.68491,130.37,7263.813072,7263.388017,7.0
1589.0,0.68491,130.37,7263.388017,7263.087945,7.0
1590.0,0.68491,130.37,7263.087945,7262.787873,7.0
1591.0,0.68491,130.37,7262.787873,7262.487801,7.0
1836.0,0.68491,133.65,7299.356904,7299.049278,7.0
